rank,Processor_name,Processor_full_name,brand,url,rating,grade,antutu_v11,gb6_single,gb6_multi,cores,core_config,clock_mhz,gpu
32,Snapdragon 7 Plus Gen 3,Qualcomm Snapdragon 7 Plus Gen 3,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-7-plus-gen-3,61,B,1647728,1860,5045,8,(1+4+3),2800 MHz,Adreno 732
33,A14 Bionic,Apple A14 Bionic,Apple,https://nanoreview.net/en/soc/apple-a14-bionic,61,B,1337390,2124,4871,6,(2+4),3100 MHz,Apple A14 GPU
34,Kirin 9030 Pro,HiSilicon Kirin 9030 Pro,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-9030,59,B,2101808,1683,5817,9,(1+4+4),2750 MHz,Maleoon 935
35,Dimensity 8350,MediaTek Dimensity 8350,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-8350,58,B,1718082,1398,4313,8,(1+3+4),3350 MHz,Mali-G615 MP6
36,Tensor G5,Google Tensor G5,Google,https://nanoreview.net/en/soc/google-tensor-g5,58,B,1467600,2293,5937,8,(1+5+2),3780 MHz,PowerVR DXT-48-1536
37,Tensor G4,Google Tensor G4,Google,https://nanoreview.net/en/soc/google-tensor-g4,58,B,1499601,1944,4630,8,(1+3+4),3100 MHz,Mali-G715 MP7
38,Dimensity 9000 Plus,MediaTek Dimensity 9000 Plus,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-9000-plus,58,B,1453683,1967,5401,8,(1+3+4),3200 MHz,Mali-G710 MP10
39,Dimensity 8300,MediaTek Dimensity 8300,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-8300,56,B,1609292,1375,4217,8,(1+3+4),3350 MHz,Mali-G615 MP6
40,Snapdragon 8 Plus Gen 1,Qualcomm Snapdragon 8 Plus Gen 1,Qualcomm,https://nanoreview.net/en/soc/snapdragon-8-plus-gen-1,56,B,1411891,1759,4575,8,(1+3+4),3200 MHz,Adreno 730
41,Tensor G3,Google Tensor G3,Google,https://nanoreview.net/en/soc/google-tensor-g3,55,B,1414384,1722,4458,9,(1+4+4),2910 MHz,Mali-G715 MP7
42,Exynos 2200,Samsung Exynos 2200,Samsung,https://nanoreview.net/en/soc/samsung-exynos-2200,54,B,1470636,1588,3958,8,(1+3+4),2800 MHz,Samsung Xclipse 920
43,Dimensity 9000,MediaTek Dimensity 9000,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-9000,54,B,1409448,1693,4384,8,(1+3+4),3050 MHz,Mali-G710 MP10
44,A13 Bionic,Apple A13 Bionic,Apple,https://nanoreview.net/en/soc/apple-a13-bionic,54,B,1091336,1754,4189,6,(2+4),2650 MHz,Apple A13 GPU
45,Exynos 1680,Samsung Exynos 1680,Samsung,https://nanoreview.net/en/soc/samsung-exynos-1680,53,B,1390055,1389,4453,8,(1+4+3),2900 MHz,Samsung Xclipse 550
46,Snapdragon 8 Gen 1,Qualcomm Snapdragon 8 Gen 1,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-8-gen-1,52,B,1294632,1678,3773,8,(1+3+4),3000 MHz,Adreno 730
47,Snapdragon 7 Plus Gen 2,Qualcomm Snapdragon 7 Plus Gen 2,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-7-plus-gen-2,51,B,1285461,1653,4349,8,(1+3+4),2910 MHz,Adreno 725
48,Snapdragon 888 Plus,Qualcomm Snapdragon 888 Plus,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-888-plus,50,B,1208784,1605,3996,8,(1+3+4),2995 MHz,Adreno 660
49,Kirin 9030S,HiSilicon Kirin 9030S,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-9030s,49,B,1607132,1410,4102,8,(1+3+4),3000 MHz,Maleoon 935F
